"","State","Year","HDI"
"532","Jharkhand",1996,0.557
"533","Jharkhand",1997,0.554
"534","Jharkhand",1998,0.553
"535","Jharkhand",1999,0.553
"536","Jharkhand",2000,0.554
"537","Jharkhand",2001,0.554
"538","Jharkhand",2002,0.557
"539","Jharkhand",2003,0.568
"540","Jharkhand",2004,0.573
"541","Jharkhand",2005,0.579
"542","Jharkhand",2006,0.585
"543","Jharkhand",2007,0.58
"544","Jharkhand",2008,0.574
"545","Jharkhand",2009,0.566
"546","Jharkhand",2010,0.564
"547","Jharkhand",2011,0.566
"548","Jharkhand",2012,0.562
"549","Jharkhand",2013,0.565
"550","Jharkhand",2014,0.572
"551","Jharkhand",2015,0.577
"552","Jharkhand",2016,0.584
"553","Jharkhand",2017,0.59
"554","Jharkhand",2018,0.59
"555","Jharkhand",2019,0.593
"556","Jharkhand",2020,0.593
"557","Jharkhand",2021,0.588
"558","Jharkhand",2022,0.6
"559","Jharkhand",2023,0.6025
"560","Jharkhand",2024,0.605
"561","Karnataka",1990,0.448
"562","Karnataka",1991,0.45
"563","Karnataka",1992,0.455
"564","Karnataka",1993,0.461
"565","Karnataka",1994,0.467
"566","Karnataka",1995,0.474
"567","Karnataka",1996,0.482
"568","Karnataka",1997,0.488
"569","Karnataka",1998,0.495
"570","Karnataka",1999,0.504
"571","Karnataka",2000,0.511
"572","Karnataka",2001,0.516
"573","Karnataka",2002,0.524
"574","Karnataka",2003,0.538
"575","Karnataka",2004,0.549
"576","Karnataka",2005,0.559
"577","Karnataka",2006,0.57
"578","Karnataka",2007,0.577
"579","Karnataka",2008,0.583
"580","Karnataka",2009,0.587
"581","Karnataka",2010,0.597
"582","Karnataka",2011,0.609
"583","Karnataka",2012,0.617
"584","Karnataka",2013,0.627
"585","Karnataka",2014,0.641
"586","Karnataka",2015,0.652
"587","Karnataka",2016,0.667
"588","Karnataka",2017,0.67
"589","Karnataka",2018,0.667
"590","Karnataka",2019,0.667
"591","Karnataka",2020,0.667
"592","Karnataka",2021,0.661
"593","Karnataka",2022,0.673
"594","Karnataka",2023,0.6745
"595","Karnataka",2024,0.676
"596","Kerala",1990,0.551
"597","Kerala",1991,0.554
"598","Kerala",1992,0.56
"599","Kerala",1993,0.561
"600","Kerala",1994,0.563
"601","Kerala",1995,0.565
"602","Kerala",1996,0.569
"603","Kerala",1997,0.571
"604","Kerala",1998,0.574
"605","Kerala",1999,0.579
"606","Kerala",2000,0.592
"607","Kerala",2001,0.604
"608","Kerala",2002,0.618
"609","Kerala",2003,0.639
"610","Kerala",2004,0.656
"611","Kerala",2005,0.672
"612","Kerala",2006,0.689
"613","Kerala",2007,0.695
"614","Kerala",2008,0.698
"615","Kerala",2009,0.699
"616","Kerala",2010,0.706
"617","Kerala",2011,0.718
"618","Kerala",2012,0.723
"619","Kerala",2013,0.73
"620","Kerala",2014,0.741
"621","Kerala",2015,0.75
"622","Kerala",2016,0.761
"623","Kerala",2017,0.762
"624","Kerala",2018,0.755
"625","Kerala",2019,0.751
"626","Kerala",2020,0.751
"627","Kerala",2021,0.745
"628","Kerala",2022,0.758
"629","Kerala",2023,0.75875
"630","Kerala",2024,0.7595
"631","Lakshadweep",1990,0.695
"632","Lakshadweep",1991,0.699
"633","Lakshadweep",1992,0.706
"634","Lakshadweep",1993,0.7
"635","Lakshadweep",1994,0.697
